train_label, mse, rmse, mae, r2
RandomForestRegressor_54,2.12155,1.45655,0.80872,0.97503
RandomForestRegressor_55,1.42678,1.19448,0.69295,0.98407
RandomForestRegressor_56,1.86853,1.36694,0.73742,0.97725
RandomForestRegressor_57,2.30749,1.51904,0.89818,0.97386
RandomForestRegressor_58,1.97087,1.40388,0.79932,0.97807
RandomForestRegressor_59,1.53839,1.24032,0.72314,0.98114
RandomForestRegressor_60,1.36219,1.16713,0.68071,0.98248
RandomForestRegressor_61,1.96796,1.40284,0.78175,0.97809
RandomForestRegressor_62,2.52830,1.59006,0.87444,0.97431
RandomForestRegressor_63,2.44130,1.56247,0.86861,0.97566
RandomForestRegressor_64,1.92716,1.38822,0.79527,0.97768
RandomForestRegressor_65,1.76340,1.32793,0.75115,0.98032
RandomForestRegressor_66,1.99881,1.41379,0.78212,0.97888
RandomForestRegressor_67,2.00990,1.41771,0.76866,0.97775
RandomForestRegressor_68,2.30219,1.51730,0.88108,0.97612
RandomForestRegressor_69,1.85416,1.36167,0.79207,0.97803
RandomForestRegressor_70,1.96140,1.40050,0.81822,0.98035
RandomForestRegressor_71,1.56839,1.25235,0.71289,0.98283
RandomForestRegressor_72,1.96535,1.40191,0.82169,0.97711
RandomForestRegressor_73,1.66549,1.29054,0.77909,0.97877
RandomForestRegressor_74,1.29430,1.13767,0.63087,0.98624
RandomForestRegressor_75,2.12938,1.45924,0.77387,0.97730
RandomForestRegressor_76,1.62000,1.27279,0.74744,0.98137
RandomForestRegressor_77,2.49668,1.58009,0.92447,0.97363
RandomForestRegressor_78,2.26952,1.50649,0.83667,0.97384
RandomForestRegressor_79,2.14692,1.46524,0.80635,0.97392
RandomForestRegressor_80,2.13332,1.46059,0.86121,0.97410
RandomForestRegressor_81,1.82289,1.35015,0.76596,0.97941
RandomForestRegressor_82,2.23084,1.49360,0.85313,0.97412
RandomForestRegressor_83,2.00222,1.41500,0.75486,0.97739
RandomForestRegressor_84,2.48371,1.57598,0.87661,0.97069
RandomForestRegressor_85,1.49531,1.22283,0.70426,0.98108
RandomForestRegressor_86,1.98860,1.41018,0.78630,0.97738
RandomForestRegressor_87,2.15743,1.46882,0.81623,0.97666
RandomForestRegressor_88,1.51626,1.23137,0.72216,0.98160
RandomForestRegressor_89,2.17343,1.47426,0.80100,0.97653
RandomForestRegressor_90,2.08711,1.44468,0.77225,0.97696
RandomForestRegressor_91,3.36993,1.83574,1.01623,0.96700
RandomForestRegressor_92,2.21511,1.48832,0.82750,0.97518
RandomForestRegressor_93,2.24426,1.49809,0.81716,0.97664
RandomForestRegressor_94,2.19291,1.48085,0.84401,0.97644
RandomForestRegressor_95,1.80201,1.34239,0.77161,0.97930
RandomForestRegressor_96,1.93878,1.39240,0.80301,0.97812
RandomForestRegressor_97,1.12060,1.05858,0.63897,0.98654
RandomForestRegressor_98,1.92131,1.38611,0.83111,0.97548
RandomForestRegressor_99,1.75881,1.32620,0.74219,0.98023
,,,,
train_label, mse_mean, rmse_mean, mae_mean, r2_mean
LinearRegression,8.48522,2.90547,2.03112,0.90857
SVR,23.85022,4.86607,3.47102,0.74714
GaussianProcessRegressor,2.09203,1.43964,0.81105,0.97660
MLPRegressor,18.36589,4.24549,3.28809,0.80262
RandomForestRegressor,2.00212,1.40910,0.79702,0.97759
,,,,
train_label, mse_std, rmse_std, mae_std, r2_std
LinearRegression,1.22988,0.20852,0.14642,0.01298
SVR,4.06341,0.41428,0.28914,0.03064
GaussianProcessRegressor,0.40940,0.13952,0.07070,0.00419
MLPRegressor,5.01389,0.58453,0.48354,0.05337
RandomForestRegressor,0.36857,0.12866,0.06756,0.00377
