train_label, mse, rmse, mae, r2
GaussianProcessRegressor_61,1.66870,1.29178,0.74576,0.98109
GaussianProcessRegressor_62,2.11617,1.45471,0.79213,0.97376
GaussianProcessRegressor_63,2.37977,1.54265,0.84425,0.97415
GaussianProcessRegressor_64,2.03657,1.42708,0.80209,0.97758
GaussianProcessRegressor_65,2.88418,1.69829,0.90867,0.96945
GaussianProcessRegressor_66,2.00781,1.41697,0.81570,0.97752
GaussianProcessRegressor_67,2.08510,1.44399,0.82849,0.97567
GaussianProcessRegressor_68,3.07943,1.75483,1.00352,0.96244
GaussianProcessRegressor_69,1.99859,1.41372,0.77930,0.97639
GaussianProcessRegressor_70,1.51259,1.22988,0.70533,0.98132
GaussianProcessRegressor_71,2.43641,1.56090,0.89311,0.97294
GaussianProcessRegressor_72,2.22493,1.49162,0.82695,0.97715
GaussianProcessRegressor_73,2.21831,1.48940,0.84687,0.97766
GaussianProcessRegressor_74,2.11514,1.45435,0.76029,0.97579
GaussianProcessRegressor_75,1.44239,1.20100,0.73454,0.98270
GaussianProcessRegressor_76,2.39790,1.54852,0.88734,0.97314
GaussianProcessRegressor_77,2.73157,1.65275,0.94784,0.96985
GaussianProcessRegressor_78,1.83457,1.35446,0.77376,0.97835
GaussianProcessRegressor_79,1.60381,1.26642,0.74782,0.98188
GaussianProcessRegressor_80,1.84775,1.35932,0.80488,0.97859
GaussianProcessRegressor_81,1.83452,1.35445,0.75830,0.97692
GaussianProcessRegressor_82,1.75815,1.32595,0.75332,0.97794
GaussianProcessRegressor_83,3.17145,1.78086,1.00974,0.96778
GaussianProcessRegressor_84,1.86445,1.36545,0.78114,0.97939
GaussianProcessRegressor_85,2.25957,1.50319,0.89020,0.97529
GaussianProcessRegressor_86,1.99569,1.41269,0.79302,0.97492
GaussianProcessRegressor_87,2.23886,1.49628,0.84276,0.97561
GaussianProcessRegressor_88,2.09862,1.44866,0.81623,0.97772
GaussianProcessRegressor_89,2.20717,1.48565,0.80613,0.97432
GaussianProcessRegressor_90,2.69896,1.64285,0.93350,0.97107
GaussianProcessRegressor_91,2.49357,1.57911,0.85365,0.97430
GaussianProcessRegressor_92,2.07608,1.44086,0.85084,0.97799
GaussianProcessRegressor_93,2.10094,1.44946,0.81642,0.97547
GaussianProcessRegressor_94,1.71949,1.31129,0.77703,0.97704
GaussianProcessRegressor_95,2.13227,1.46023,0.84287,0.97634
GaussianProcessRegressor_96,1.88948,1.37458,0.77429,0.97783
GaussianProcessRegressor_97,2.90407,1.70413,0.91786,0.96894
GaussianProcessRegressor_98,1.75304,1.32402,0.73500,0.97982
GaussianProcessRegressor_99,1.98537,1.40903,0.79104,0.97905
MLPRegressor_0,22.23128,4.71501,3.39024,0.75617
MLPRegressor_1,23.41937,4.83936,3.62687,0.74669
MLPRegressor_2,21.98750,4.68908,3.56956,0.76249
MLPRegressor_3,21.76085,4.66485,3.78077,0.73698
MLPRegressor_4,11.21855,3.34941,2.63462,0.88472
MLPRegressor_5,18.22283,4.26882,3.13781,0.80188
MLPRegressor_6,10.78004,3.28330,2.46824,0.88295
MLPRegressor_7,12.50227,3.53585,2.84634,0.85672
MLPRegressor_8,15.90255,3.98780,3.23728,0.82410
MLPRegressor_9,12.44218,3.52735,2.71456,0.86271
MLPRegressor_10,11.02394,3.32023,2.49089,0.88952
MLPRegressor_11,16.04254,4.00531,3.10666,0.82745
MLPRegressor_12,21.83719,4.67303,3.70518,0.76346
MLPRegressor_13,22.75256,4.76996,3.67869,0.76617
MLPRegressor_14,15.70731,3.96324,3.03105,0.84093
