train_label, mse, rmse, mae, r2
GaussianProcessRegressor_61,1.18846,1.09016,0.63424,0.98594
GaussianProcessRegressor_62,0.68587,0.82818,0.53675,0.99300
GaussianProcessRegressor_63,0.85156,0.92280,0.52400,0.99022
GaussianProcessRegressor_64,1.48304,1.21780,0.63119,0.98224
GaussianProcessRegressor_65,0.95322,0.97633,0.56421,0.99019
GaussianProcessRegressor_66,1.49687,1.22347,0.63639,0.98456
GaussianProcessRegressor_67,1.11080,1.05395,0.62014,0.98749
GaussianProcessRegressor_68,1.11343,1.05519,0.59105,0.98839
GaussianProcessRegressor_69,1.17984,1.08620,0.61375,0.98831
GaussianProcessRegressor_70,0.98234,0.99113,0.54752,0.98976
GaussianProcessRegressor_71,1.99154,1.41122,0.68433,0.97952
GaussianProcessRegressor_72,1.56391,1.25056,0.54957,0.98199
GaussianProcessRegressor_73,1.03720,1.01843,0.62657,0.98869
GaussianProcessRegressor_74,1.49071,1.22095,0.65121,0.98460
GaussianProcessRegressor_75,1.38183,1.17551,0.70744,0.98669
GaussianProcessRegressor_76,0.83098,0.91158,0.55048,0.99126
GaussianProcessRegressor_77,1.33661,1.15612,0.61345,0.98654
GaussianProcessRegressor_78,2.21487,1.48824,0.68201,0.97753
GaussianProcessRegressor_79,0.84605,0.91981,0.56985,0.99171
GaussianProcessRegressor_80,0.85980,0.92725,0.57213,0.99011
GaussianProcessRegressor_81,0.91687,0.95753,0.58673,0.99016
GaussianProcessRegressor_82,7.82289,2.79694,1.08009,0.91160
GaussianProcessRegressor_83,0.77093,0.87803,0.57998,0.99152
GaussianProcessRegressor_84,1.14865,1.07175,0.62258,0.98725
GaussianProcessRegressor_85,1.04895,1.02418,0.56296,0.98811
GaussianProcessRegressor_86,0.72413,0.85096,0.52996,0.99208
GaussianProcessRegressor_87,1.93874,1.39239,0.68223,0.97794
GaussianProcessRegressor_88,1.32537,1.15125,0.67470,0.98644
GaussianProcessRegressor_89,1.59688,1.26368,0.63532,0.98387
GaussianProcessRegressor_90,0.80484,0.89713,0.56155,0.99120
GaussianProcessRegressor_91,2.43999,1.56205,0.75225,0.97609
GaussianProcessRegressor_92,2.10057,1.44933,0.73440,0.97409
GaussianProcessRegressor_93,2.26324,1.50441,0.70216,0.97370
GaussianProcessRegressor_94,1.46176,1.20903,0.63764,0.98538
GaussianProcessRegressor_95,1.48620,1.21910,0.65138,0.98571
GaussianProcessRegressor_96,0.88037,0.93828,0.55843,0.99049
GaussianProcessRegressor_97,1.78545,1.33621,0.62929,0.97913
GaussianProcessRegressor_98,2.27650,1.50881,0.68611,0.97421
GaussianProcessRegressor_99,0.82439,0.90796,0.54890,0.99124
MLPRegressor_0,15.80311,3.97531,3.27070,0.83463
MLPRegressor_1,24.55843,4.95565,3.77539,0.72313
MLPRegressor_2,15.03973,3.87811,2.99798,0.83185
MLPRegressor_3,15.23021,3.90259,2.95973,0.84479
MLPRegressor_4,20.25883,4.50098,3.43853,0.78718
MLPRegressor_5,23.18251,4.81482,3.74991,0.78492
MLPRegressor_6,13.72424,3.70462,2.81828,0.86064
MLPRegressor_7,22.48475,4.74181,3.68691,0.75988
MLPRegressor_8,26.79461,5.17635,4.08755,0.71176
MLPRegressor_9,27.11794,5.20749,3.95403,0.70972
MLPRegressor_10,16.22037,4.02745,3.06933,0.84116
MLPRegressor_11,22.36515,4.72918,3.70502,0.74745
MLPRegressor_12,31.81377,5.64037,4.49696,0.67837
MLPRegressor_13,16.88963,4.10970,3.17134,0.82785
MLPRegressor_14,25.66923,5.06648,4.06730,0.72119
MLPRegressor_15,37.18422,6.09789,4.97041,0.68152
MLPRegressor_16,23.27806,4.82473,3.63931,0.77467
MLPRegressor_17,22.37206,4.72991,3.69755,0.76371
MLPRegressor_18,22.46070,4.73927,3.71363,0.75140
MLPRegressor_19,19.95282,4.46686,3.49642,0.79636
MLPRegressor_20,24.26848,4.92631,3.74312,0.73713
MLPRegressor_21,21.36217,4.62192,3.66633,0.76588
MLPRegressor_22,21.61439,4.64913,3.47625,0.75560
MLPRegressor_23,21.76063,4.66483,3.59359,0.79699
MLPRegressor_24,16.75032,4.09272,3.22563,0.82110
MLPRegressor_25,27.51361,5.24534,4.17480,0.71463
MLPRegressor_26,27.43829,5.23816,4.08640,0.73285
MLPRegressor_27,18.61019,4.31395,3.18833,0.82121
MLPRegressor_28,19.93213,4.46454,3.49358,0.80093
MLPRegressor_29,22.63981,4.75813,3.60829,0.75692
MLPRegressor_30,13.35997,3.65513,2.81824,0.84268
