train_label, mse, rmse, mae, r2
GaussianProcessRegressor_46,1.75735,1.32565,0.73336,0.97800
GaussianProcessRegressor_47,1.23139,1.10968,0.64341,0.98788
GaussianProcessRegressor_48,1.09065,1.04434,0.65165,0.98903
GaussianProcessRegressor_49,1.61660,1.27146,0.68170,0.98399
GaussianProcessRegressor_50,0.51105,0.71487,0.46965,0.99501
GaussianProcessRegressor_51,1.46694,1.21117,0.67630,0.98385
GaussianProcessRegressor_52,2.40127,1.54960,0.67763,0.97449
GaussianProcessRegressor_53,1.28185,1.13219,0.61991,0.98731
GaussianProcessRegressor_54,1.09874,1.04821,0.61281,0.98853
GaussianProcessRegressor_55,1.01685,1.00839,0.59261,0.99038
GaussianProcessRegressor_56,1.12519,1.06075,0.60270,0.98723
GaussianProcessRegressor_57,1.56087,1.24935,0.69477,0.98305
GaussianProcessRegressor_58,0.77465,0.88014,0.52843,0.99088
GaussianProcessRegressor_59,1.13999,1.06770,0.58922,0.98903
GaussianProcessRegressor_60,3.16641,1.77944,0.85117,0.96570
GaussianProcessRegressor_61,1.54239,1.24193,0.66359,0.98412
GaussianProcessRegressor_62,2.33413,1.52779,0.75024,0.97411
GaussianProcessRegressor_63,1.45347,1.20560,0.62745,0.98390
GaussianProcessRegressor_64,0.91478,0.95644,0.56041,0.99009
GaussianProcessRegressor_65,0.80257,0.89586,0.49712,0.99092
GaussianProcessRegressor_66,0.75797,0.87061,0.56329,0.99149
GaussianProcessRegressor_67,1.40804,1.18661,0.65003,0.98724
GaussianProcessRegressor_68,0.98535,0.99265,0.55299,0.98932
GaussianProcessRegressor_69,0.51884,0.72030,0.47885,0.99476
GaussianProcessRegressor_70,1.24414,1.11541,0.58583,0.98729
GaussianProcessRegressor_71,1.44332,1.20138,0.61340,0.98476
GaussianProcessRegressor_72,0.65783,0.81106,0.56915,0.99261
GaussianProcessRegressor_73,1.77295,1.33152,0.68532,0.98103
GaussianProcessRegressor_74,1.46713,1.21125,0.62991,0.98372
GaussianProcessRegressor_75,0.71942,0.84818,0.54267,0.99240
GaussianProcessRegressor_76,2.10733,1.45166,0.66721,0.97729
GaussianProcessRegressor_77,1.20530,1.09786,0.65849,0.98684
GaussianProcessRegressor_78,1.27762,1.13032,0.69012,0.98579
GaussianProcessRegressor_79,0.55415,0.74441,0.48011,0.99447
GaussianProcessRegressor_80,1.00776,1.00387,0.62127,0.98875
GaussianProcessRegressor_81,1.23639,1.11193,0.63296,0.98616
GaussianProcessRegressor_82,1.23686,1.11214,0.66455,0.98621
GaussianProcessRegressor_83,0.83729,0.91503,0.53279,0.99111
GaussianProcessRegressor_84,0.59033,0.76833,0.50982,0.99365
GaussianProcessRegressor_85,0.96367,0.98167,0.59517,0.98931
GaussianProcessRegressor_86,1.13131,1.06363,0.61848,0.98794
GaussianProcessRegressor_87,0.58415,0.76430,0.50730,0.99407
GaussianProcessRegressor_88,1.11059,1.05385,0.60896,0.98718
GaussianProcessRegressor_89,1.59684,1.26366,0.62837,0.98205
GaussianProcessRegressor_90,0.71601,0.84618,0.50528,0.99241
GaussianProcessRegressor_91,0.65554,0.80966,0.55971,0.99326
GaussianProcessRegressor_92,0.54727,0.73978,0.51955,0.99390
GaussianProcessRegressor_93,1.12851,1.06231,0.59572,0.98867
GaussianProcessRegressor_94,1.64687,1.28330,0.68492,0.98167
GaussianProcessRegressor_95,1.20032,1.09559,0.63562,0.98604
GaussianProcessRegressor_96,1.11400,1.05546,0.62501,0.98793
GaussianProcessRegressor_97,1.15620,1.07527,0.58730,0.98808
GaussianProcessRegressor_98,1.11718,1.05697,0.57497,0.98855
GaussianProcessRegressor_99,1.59701,1.26373,0.67601,0.98490
MLPRegressor_0,27.69490,5.26259,4.02580,0.74214
MLPRegressor_1,26.97828,5.19406,4.09740,0.69246
MLPRegressor_2,27.07236,5.20311,4.04638,0.71350
MLPRegressor_3,21.98935,4.68928,3.66749,0.78976
MLPRegressor_4,23.02903,4.79886,3.62985,0.76177
MLPRegressor_5,19.08864,4.36905,3.34966,0.81825
MLPRegressor_6,17.21631,4.14925,3.27219,0.80535
MLPRegressor_7,25.26946,5.02687,3.92104,0.72941
MLPRegressor_8,13.40727,3.66159,2.89799,0.85999
MLPRegressor_9,25.90795,5.08999,3.97060,0.71681
MLPRegressor_10,24.78396,4.97835,3.75304,0.75637
MLPRegressor_11,24.07634,4.90677,3.82691,0.75936
MLPRegressor_12,23.87913,4.88663,3.78322,0.76638
MLPRegressor_13,28.92438,5.37814,4.26456,0.74130
MLPRegressor_14,29.43290,5.42521,4.19368,0.68585
MLPRegressor_15,26.92046,5.18849,3.98813,0.72800
MLPRegressor_16,16.01520,4.00190,3.09369,0.82497
MLPRegressor_17,30.95447,5.56367,4.29908,0.68174
MLPRegressor_18,21.97995,4.68828,3.57889,0.78574
MLPRegressor_19,22.36365,4.72902,3.65692,0.76102
MLPRegressor_20,24.08981,4.90814,3.90994,0.75538
MLPRegressor_21,24.29546,4.92904,3.66479,0.73515
MLPRegressor_22,18.49999,4.30116,3.21866,0.82853
