train_label, mse, rmse, mae, r2
GaussianProcessRegressor_36,2.09320,1.44679,0.80934,0.97557
GaussianProcessRegressor_37,1.82445,1.35072,0.79093,0.98016
GaussianProcessRegressor_38,2.50681,1.58329,0.88255,0.97235
GaussianProcessRegressor_39,2.15100,1.46663,0.87221,0.97703
GaussianProcessRegressor_40,1.75878,1.32619,0.73103,0.97959
GaussianProcessRegressor_41,1.54393,1.24255,0.70484,0.98215
GaussianProcessRegressor_42,2.21670,1.48886,0.87132,0.97626
GaussianProcessRegressor_43,1.98525,1.40899,0.86365,0.97512
GaussianProcessRegressor_44,2.61920,1.61839,0.89932,0.97102
GaussianProcessRegressor_45,2.41305,1.55340,0.86404,0.97562
GaussianProcessRegressor_46,2.13802,1.46220,0.87204,0.97720
GaussianProcessRegressor_47,2.05213,1.43252,0.86772,0.97805
GaussianProcessRegressor_48,3.75657,1.93819,1.07662,0.96251
GaussianProcessRegressor_49,1.99877,1.41378,0.80568,0.97750
GaussianProcessRegressor_50,2.18989,1.47983,0.86652,0.97489
GaussianProcessRegressor_51,1.71082,1.30798,0.78290,0.97942
GaussianProcessRegressor_52,2.90294,1.70380,0.96889,0.96656
GaussianProcessRegressor_53,3.71109,1.92642,0.98661,0.95744
GaussianProcessRegressor_54,2.44847,1.56476,0.93746,0.97425
GaussianProcessRegressor_55,1.94646,1.39516,0.76777,0.97807
GaussianProcessRegressor_56,2.31551,1.52168,0.86991,0.97250
GaussianProcessRegressor_57,2.01726,1.42030,0.82561,0.97719
GaussianProcessRegressor_58,2.03261,1.42570,0.87096,0.97710
GaussianProcessRegressor_59,2.40835,1.55189,0.94414,0.97470
GaussianProcessRegressor_60,2.52644,1.58948,0.93031,0.97431
GaussianProcessRegressor_61,2.69962,1.64305,0.92367,0.96780
GaussianProcessRegressor_62,2.83405,1.68346,0.95161,0.97360
GaussianProcessRegressor_63,2.24560,1.49853,0.86293,0.97233
GaussianProcessRegressor_64,2.09836,1.44857,0.85525,0.97740
GaussianProcessRegressor_65,2.56835,1.60261,0.86713,0.97322
GaussianProcessRegressor_66,3.15643,1.77664,0.98733,0.96716
GaussianProcessRegressor_67,2.21345,1.48777,0.88277,0.97415
GaussianProcessRegressor_68,2.62277,1.61950,0.97598,0.97200
GaussianProcessRegressor_69,1.94096,1.39318,0.75244,0.97907
GaussianProcessRegressor_70,2.18331,1.47760,0.81377,0.97701
GaussianProcessRegressor_71,2.45391,1.56650,0.92489,0.97453
GaussianProcessRegressor_72,3.11360,1.76454,0.97058,0.96677
GaussianProcessRegressor_73,2.85389,1.68935,0.99369,0.96995
GaussianProcessRegressor_74,3.10751,1.76281,0.94445,0.96744
GaussianProcessRegressor_75,2.52339,1.58852,0.88434,0.97440
GaussianProcessRegressor_76,2.58278,1.60710,0.89399,0.97295
GaussianProcessRegressor_77,1.73406,1.31684,0.78511,0.98206
GaussianProcessRegressor_78,2.37177,1.54006,0.91122,0.97245
GaussianProcessRegressor_79,2.09162,1.44624,0.91300,0.97894
GaussianProcessRegressor_80,2.62595,1.62048,0.88905,0.97042
GaussianProcessRegressor_81,2.83318,1.68320,0.92345,0.96827
GaussianProcessRegressor_82,2.03274,1.42574,0.88401,0.97970
GaussianProcessRegressor_83,2.35723,1.53533,0.89553,0.97384
GaussianProcessRegressor_84,2.82957,1.68213,1.00100,0.97041
GaussianProcessRegressor_85,2.31862,1.52270,0.89564,0.97312
GaussianProcessRegressor_86,2.22020,1.49003,0.87589,0.97607
GaussianProcessRegressor_87,2.38391,1.54399,0.87074,0.97610
GaussianProcessRegressor_88,2.75725,1.66050,1.01302,0.96996
GaussianProcessRegressor_89,3.27594,1.80996,1.03440,0.95862
GaussianProcessRegressor_90,1.97618,1.40577,0.75889,0.97764
GaussianProcessRegressor_91,1.83733,1.35548,0.78200,0.97829
GaussianProcessRegressor_92,2.18233,1.47727,0.83417,0.97336
GaussianProcessRegressor_93,2.15839,1.46915,0.86582,0.97657
GaussianProcessRegressor_94,2.57464,1.60457,0.92413,0.97161
GaussianProcessRegressor_95,2.47468,1.57311,0.90058,0.97457
GaussianProcessRegressor_96,1.61944,1.27257,0.73352,0.98093
GaussianProcessRegressor_97,1.95768,1.39917,0.80005,0.98061
GaussianProcessRegressor_98,2.27196,1.50730,0.88046,0.97555
GaussianProcessRegressor_99,2.94679,1.71662,0.94382,0.96990
MLPRegressor_0,19.34128,4.39787,3.55344,0.79828
MLPRegressor_1,16.39147,4.04864,3.29797,0.79874
MLPRegressor_2,27.76000,5.26878,3.85856,0.71306
MLPRegressor_3,18.66009,4.31973,3.37551,0.79542
MLPRegressor_4,15.46114,3.93207,3.00158,0.81743
MLPRegressor_5,37.89093,6.15556,4.95218,0.64825
MLPRegressor_6,30.94379,5.56271,4.31673,0.66334
MLPRegressor_7,28.05838,5.29702,4.14625,0.68847
MLPRegressor_8,16.14636,4.01825,3.21064,0.81471
MLPRegressor_9,19.22615,4.38476,3.40330,0.80882
MLPRegressor_10,21.94752,4.68482,3.54550,0.78630
MLPRegressor_11,24.01244,4.90025,4.05035,0.72771
MLPRegressor_12,16.86599,4.10682,3.27988,0.82574
MLPRegressor_13,17.34218,4.16439,3.21340,0.82364
MLPRegressor_14,31.59331,5.62079,4.32956,0.68739
MLPRegressor_15,33.25876,5.76704,4.55231,0.66260
MLPRegressor_16,30.50579,5.52321,4.40375,0.64338
MLPRegressor_17,31.16667,5.58271,4.21574,0.68359
MLPRegressor_18,18.83273,4.33967,3.41809,0.79907
MLPRegressor_19,18.57473,4.30984,3.25089,0.82109
MLPRegressor_20,28.55630,5.34381,4.11770,0.71702
MLPRegressor_21,21.00541,4.58317,3.59355,0.75853
MLPRegressor_22,22.55943,4.74968,3.49218,0.75233
MLPRegressor_23,25.27612,5.02754,4.04487,0.73045
MLPRegressor_24,26.08703,5.10755,4.05074,0.73838
MLPRegressor_25,26.76783,5.17376,4.05256,0.70840
MLPRegressor_26,30.26378,5.50125,4.34875,0.68596
MLPRegressor_27,15.17241,3.89518,2.81189,0.84894
MLPRegressor_28,18.45321,4.29572,3.36082,0.79385
MLPRegressor_29,15.79226,3.97395,3.02386,0.82484
MLPRegressor_30,21.08746,4.59211,3.53154,0.78427
MLPRegressor_31,27.19112,5.21451,4.08346,0.72869
MLPRegressor_32,24.21137,4.92051,3.81611,0.71045
MLPRegressor_33,23.35567,4.83277,3.77817,0.74361
MLPRegressor_34,30.23026,5.49820,4.42361,0.69823
MLPRegressor_35,23.82348,4.88093,3.72378,0.76202
MLPRegressor_36,21.40018,4.62603,3.33702,0.75593
MLPRegressor_37,23.95762,4.89465,3.88765,0.75658
MLPRegressor_38,22.07450,4.69835,3.64326,0.76141
MLPRegressor_39,19.64577,4.43235,3.47627,0.79431
MLPRegressor_40,19.62685,4.43022,3.62671,0.78428
MLPRegressor_41,17.91615,4.23275,3.25415,0.80140
MLPRegressor_42,13.48862,3.67269,2.81001,0.86246
MLPRegressor_43,29.22771,5.40627,4.08846,0.64125
MLPRegressor_44,18.01134,4.24398,3.00768,0.81082
MLPRegressor_45,29.37811,5.42016,4.13379,0.71540
MLPRegressor_46,18.97476,4.35600,3.17158,0.80583
MLPRegressor_47,28.74174,5.36113,4.21593,0.70825
